component,status,lastScannedAt,lastSourceModifiedAt,lastEditedBy,lastEditedAt,lastEditedSourceFile,changedSinceLastScan,scanReason,skipReason,sourceFileCount,missingKnowledgeFileCount
"falcon-dialog","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.587+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/dialog.tokens.css","false","no prior metadata","",8,0
"falcon-drawer","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.587+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/drawer.tokens.css","false","no prior metadata","",8,0
"falcon-dropdown","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.587+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-13T09:01:57+03:00","libs/falcon-ui-core/src/angular-wrapper/components/falcon-dropdown/falcon-dropdown.component.html","false","no prior metadata","",9,0
"falcon-email-field","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.588+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/email-field.tokens.css","false","no prior metadata","",9,0
"falcon-empty-state","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.588+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/empty-state.tokens.css","false","no prior metadata","",8,0
"falcon-filter-panel","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.588+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/filter-panel.tokens.css","false","no prior metadata","",8,0
"falcon-form-field","scanned","2026-05-13T20:37:42.393+03:00","","","","","false","no prior metadata","",0,0
"falcon-grid-input","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.589+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/grid-input.tokens.css","false","no prior metadata","",8,0
"falcon-icon","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.589+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/icon.tokens.css","false","no prior metadata","",8,0
"falcon-input","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.589+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/input.tokens.css","false","no prior metadata","",9,0
"falcon-input-number","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.589+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/input-number.tokens.css","false","no prior metadata","",8,0
"falcon-menu","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.590+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/menu.tokens.css","false","no prior metadata","",8,0
"falcon-message-host","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.172+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-11T20:16:04+03:00","libs/falcon-ui-core/src/angular-wrapper/components/falcon-message-service/falcon-message-host.component.ts","false","no prior metadata","",4,0
"falcon-mobile-number","scanned","2026-05-13T20:37:42.393+03:00","","","","","false","no prior metadata","",0,0
"falcon-multi-select","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.590+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-13T09:01:57+03:00","libs/falcon-ui-core/src/angular-wrapper/components/falcon-multi-select/falcon-multi-select.component.html","false","no prior metadata","",9,0
"falcon-multiselect-legacy","scanned","2026-05-13T20:37:42.393+03:00","","","","","false","no prior metadata","",0,0
"falcon-notification","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.175+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T19:01:43+03:00","libs/falcon-ui-core/src/angular-wrapper/components/falcon-notification/falcon-notification-stack.component.ts","false","no prior metadata","",4,0
"falcon-organization-hierarchy-tree-tw","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.355+03:00","AmmarSk <a.sukkariyeh@t2.sa>","2026-05-09T16:06:54+03:00","libs/falcon-ui-core/src/components/falcon-organization-hierarchy-tree-tw/falcon-organization-hierarchy-tree-tw.tsx","false","no prior metadata","",1,0
"falcon-otp","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.591+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/otp.tokens.css","false","no prior metadata","",9,0
"falcon-otp-send-dialog","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.590+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/otp-send-dialog.tokens.css","false","no prior metadata","",9,0
"falcon-paginator","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.591+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/paginator.tokens.css","false","no prior metadata","",9,0
"falcon-password","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.591+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/password.tokens.css","false","no prior metadata","",8,0
"falcon-phone-field","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.592+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/phone-field.tokens.css","false","no prior metadata","",9,0
"falcon-photo-uploader","scanned","2026-05-13T20:37:42.393+03:00","","","","","false","no prior metadata","",0,0
"falcon-popup","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.182+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T23:31:28+03:00","libs/falcon-ui-core/src/angular-wrapper/components/falcon-popup/falcon-popup.component.ts","false","no prior metadata","",2,0
"falcon-radio","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.592+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/radio.tokens.css","false","no prior metadata","",9,0
"falcon-radio-group","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.592+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:47:37+03:00","libs/falcon-ui-core/src/components/falcon-radio-group-tw/falcon-radio-group-tw.tsx","false","no prior metadata","",8,0
"falcon-search-input","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.592+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/search-input.tokens.css","false","no prior metadata","",8,0
"falcon-select","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.186+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-11T20:16:04+03:00","libs/falcon-ui-core/src/angular-wrapper/components/falcon-select/index.ts","false","no prior metadata","",1,0
"falcon-single-uploader","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T23:19:47.726+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-13T23:35:19+03:00","libs/falcon-ui-core/src/components/falcon-single-uploader/falcon-single-uploader.tsx","false","no prior metadata","",9,0
"falcon-status-badge","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.593+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/status-badge.tokens.css","false","no prior metadata","",8,0
"falcon-stepper","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.593+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/stepper.tokens.css","false","no prior metadata","",9,0
"falcon-stepper-legacy","scanned","2026-05-13T20:37:42.393+03:00","","","","","false","no prior metadata","",0,0
"falcon-switch","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.593+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/switch.tokens.css","false","no prior metadata","",9,0
"falcon-table","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T23:19:49.724+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-13T23:35:19+03:00","libs/falcon-ui-core/src/components/falcon-table/falcon-table.tsx","false","no prior metadata","",8,0
"falcon-tabs","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.594+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/tabs.tokens.css","false","no prior metadata","",10,0
"falcon-tag","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.594+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/tag.tokens.css","false","no prior metadata","",8,0
"falcon-textarea","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.595+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/textarea.tokens.css","false","no prior metadata","",9,0
"falcon-toast","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.595+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/toast.tokens.css","false","no prior metadata","",10,0
"falcon-tooltip","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.595+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/tooltip.tokens.css","false","no prior metadata","",9,0
"falcon-tree","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.596+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/tree.tokens.css","false","no prior metadata","",9,0
"falcon-tree-panel","scanned","2026-05-13T20:37:42.393+03:00","","","","","false","no prior metadata","",0,0
"falcon-tree-table","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.595+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/tree-table.tokens.css","false","no prior metadata","",9,0
"falcon-uploader","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T23:19:40.487+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-13T23:35:19+03:00","libs/falcon-ui-core/src/components/falcon-uploader/falcon-uploader.tsx","false","no prior metadata","",9,0
"falcon-wizard","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.596+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/wizard.tokens.css","false","no prior metadata","",8,0
"send-credentials-popup","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.636+03:00","RashaAmjad <109524575+RashaAmjad@users.noreply.github.com>","2026-05-10T14:29:48+03:00","libs/falcon/src/shared-ui/lib/components/send-credentials-popup/send-credentials-popup.component.html","false","no prior metadata","",2,0
"shared-directives","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.641+03:00","RashaAmjad <109524575+RashaAmjad@users.noreply.github.com>","2026-05-10T00:40:04+03:00","libs/falcon/src/shared-ui/lib/directives/falcon-effective-date.directive.ts","false","no prior metadata","",13,0
